"","address","type","datetime","latitude","longitude","report_location","incident_number"
"196","9551 Rainier Ave S","Alarm Bell","2025-10-14T08:37:00.000",47.520126,-122.259197,"POINT (-122.259197 47.520126)","F250142448"
"197","Eb Sr520 At Montlake","MVI Freeway","2025-10-14T08:37:00.000",47.643417,-122.308528,"POINT (-122.308528 47.643417)","F250142449"
"198","Queen Anne Ave N / W Galer St","Illegal Burn","2025-10-14T08:28:00.000",47.632317,-122.356777,"POINT (-122.356777 47.632317)","F250142446"
"199","3rd Ave / Yesler Way","Aid Response","2025-10-14T08:23:00.000",47.601716,-122.330265,"POINT (-122.330265 47.601716)","F250142443"
"200","2010 S Jackson St","Automatic Medical Alarm","2025-10-14T08:04:00.000",47.599258,-122.305827,"POINT (-122.305827 47.599258)","F250142440"
"201","606 Nw 85th St","Activated CO Detector","2025-10-14T08:01:00.000",47.69064,-122.363388,"POINT (-122.363388 47.69064)","F250142439"
"202","6550 19th Ave Ne","Ladder Code Yellow","2025-10-14T07:59:00.000",47.676085,-122.307649,"POINT (-122.307649 47.676085)","F250142436"
"203","12024 Greenwood Ave N","Aid Response","2025-10-14T07:59:00.000",47.716184,-122.355524,"POINT (-122.355524 47.716184)","F250142437"
"204","3936 S Kenyon St","Auto Fire Alarm","2025-10-14T07:55:00.000",47.531541,-122.282895,"POINT (-122.282895 47.531541)","F250142434"
"205","28th Ave Sw / Sw Roxbury St","MVI - Motor Vehicle Incident","2025-10-14T07:49:00.000",47.517395,-122.368659,"POINT (-122.368659 47.517395)","F250142431"
"206","429 2nd Ave W","Aid Response Yellow","2025-10-14T07:39:00.000",47.622452,-122.359338,"POINT (-122.359338 47.622452)","F250142428"
"207","10712 5th Ave Ne","Auto Fire Alarm","2025-10-14T07:35:00.000",47.70693,-122.323227,"POINT (-122.323227 47.70693)","F250142427"
"208","2101 N Northlake Way","Illegal Burn","2025-10-14T07:33:00.000",47.646871,-122.333913,"POINT (-122.333913 47.646871)","F250142425"
"209","715 Cherry St","Medic Response","2025-10-14T07:30:00.000",47.605411,-122.327454,"POINT (-122.327454 47.605411)","F250142424"
"210","1911 22nd Ave S","Auto Alarm 1 + 1 + 1","2025-10-14T07:23:00.000",47.586234,-122.304237,"POINT (-122.304237 47.586234)","F250142416"
"211","SB I5 AT HOLGATE","Brush Fire","2025-10-14T07:17:00.000",47.588028,-122.320555,"POINT (-122.320555 47.588028)","F250142413"
"212","10030 59th Ave S","1RED 1 Unit","2025-10-14T07:17:00.000",47.51121,-122.259412,"POINT (-122.259412 47.51121)","F250142412"
"213","3408 Nw 62nd St","Aid Response","2025-10-14T07:10:00.000",47.673903,-122.401166,"POINT (-122.401166 47.673903)","F250142411"
"214","3029 52nd Ave Sw","Medic Response","2025-10-14T07:03:00.000",47.577293,-122.39796,"POINT (-122.39796 47.577293)","F250142410"
"215","3107 W Commodore Way","Aid Response Yellow","2025-10-14T06:57:00.000",47.663613,-122.396856,"POINT (-122.396856 47.663613)","F250142408"
"216","1056 Ne Northgate Way","Illegal Burn","2025-10-14T06:55:00.000",47.708549,-122.315902,"POINT (-122.315902 47.708549)","F250142407"
"217","3621 33rd Ave S","Auto Fire Alarm","2025-10-14T06:54:00.000",47.571408,-122.291001,"POINT (-122.291001 47.571408)","F250142406"
"218","13000 Linden Ave N","Automatic Medical Alarm","2025-10-14T06:47:00.000",47.723218,-122.348195,"POINT (-122.348195 47.723218)","F250142405"
"219","1525 Nw 53rd St","Aid Response","2025-10-14T06:47:00.000",47.667163,-122.37654,"POINT (-122.37654 47.667163)","F250142404"
"220","323 25th Ave S","Aid Response","2025-10-14T06:36:00.000",47.599876,-122.299866,"POINT (-122.299866 47.599876)","F250142402"
"221","609 Prospect St","Dumpster Fire","2025-10-14T06:35:00.000",47.628899,-122.344259,"POINT (-122.344259 47.628899)","F250142399"
"222","9TH AVE N / ROY ST","Illegal Burn","2025-10-14T06:35:00.000",47.625393,-122.339735,"POINT (-122.339735 47.625393)","F250142401"
"223","825 Eastlake Ave E","Illegal Burn","2025-10-14T06:29:00.000",47.626215,-122.329199,"POINT (-122.329199 47.626215)","F250142398"
"224","517 2nd Ave W","3RED - 1 +1 + 1","2025-10-14T06:28:00.000",47.623499,-122.35933,"POINT (-122.35933 47.623499)","F250142396"
"225","601 Prospect St","Dumpster Fire","2025-10-14T06:28:00.000",47.628902,-122.34485,"POINT (-122.34485 47.628902)","F250142397"
"226","2701 15th Ave S","Investigate Out Of Service","2025-10-14T06:14:00.000",47.579466,-122.313381,"POINT (-122.313381 47.579466)","F250142391"
"227","3621 46th Ave Sw","Aid Response","2025-10-14T06:12:00.000",47.571863,-122.390776,"POINT (-122.390776 47.571863)","F250142389"
"228","2021 2nd Ave N","Medic Response","2025-10-14T05:56:00.000",47.636736,-122.353172,"POINT (-122.353172 47.636736)","F250142388"
"229","2119 3rd Ave","Medic Response","2025-10-14T05:54:00.000",47.613308,-122.342432,"POINT (-122.342432 47.613308)","F250142387"
"230","7523 26th Ave Nw","Aid Response","2025-10-14T05:49:00.000",47.683322,-122.38977,"POINT (-122.38977 47.683322)","F250142386"
"231","935 Golf Dr S","Investigate Out Of Service","2025-10-14T05:40:00.000",47.59407,-122.316226,"POINT (-122.316226 47.59407)","F250142384"
"232","3936 S Kenyon St","Aid Response","2025-10-14T05:35:00.000",47.531541,-122.282895,"POINT (-122.282895 47.531541)","F250142382"
"233","1305 Alaskan Way","Aid Response","2025-10-14T05:31:00.000",47.606081,-122.340135,"POINT (-122.340135 47.606081)","F250142380"
"234","704 E Thomas St","Medic Response","2025-10-14T05:24:00.000",47.62106,-122.323056,"POINT (-122.323056 47.62106)","F250142376"
"235","7204 27th Ave Ne","Medic Response","2025-10-14T05:18:00.000",47.680714,-122.29853,"POINT (-122.29853 47.680714)","F250142375"
"236","2119 3rd Ave","Aid Response","2025-10-14T05:18:00.000",47.613308,-122.342432,"POINT (-122.342432 47.613308)","F250142374"
"237","910 Marion St","Aid Response","2025-10-14T05:13:00.000",47.607742,-122.326595,"POINT (-122.326595 47.607742)","F250142372"
"238","3001 37th Ave W","Medic Response","2025-10-14T05:10:00.000",47.646813,-122.404678,"POINT (-122.404678 47.646813)","F250142371"
"239","2201 E Madison St","Aid Response","2025-10-14T05:03:00.000",47.618428,-122.303639,"POINT (-122.303639 47.618428)","F250142370"
"240","1067 E Harrison St","Aid Response Yellow","2025-10-14T04:59:00.000",47.621975,-122.318531,"POINT (-122.318531 47.621975)","F250142369"
"241","300 N 130th St","Aid Response Yellow","2025-10-14T04:57:00.000",47.723234,-122.355547,"POINT (-122.355547 47.723234)","F250142368"
"242","9860 41st Ave Sw","Aid Response Yellow","2025-10-14T04:47:00.000",47.51506,-122.384685,"POINT (-122.384685 47.51506)","F250142366"
"243","999 3rd Ave","Aid Response","2025-10-14T04:37:00.000",47.605624,-122.334019,"POINT (-122.334019 47.605624)","F250142365"
"244","1414 38th Ave E","Aid Response","2025-10-14T04:20:00.000",47.631165,-122.284086,"POINT (-122.284086 47.631165)","F250142364"
"245","6520 35th Ave Sw","Activated CO Detector","2025-10-14T04:18:00.000",47.544499,-122.376449,"POINT (-122.376449 47.544499)","F250142362"
"246","2414 43rd Ave E","Aid Response","2025-10-14T04:18:00.000",47.640698,-122.277073,"POINT (-122.277073 47.640698)","F250142363"
"247","ALASKAN WAY S / S KING ST","Aid Response","2025-10-14T04:13:00.000",47.59824,-122.335906,"POINT (-122.335906 47.59824)","B250142361"
"248","3rd Ave / Columbia St","Medic Response","2025-10-14T04:13:00.000",47.604197,-122.332714,"POINT (-122.332714 47.604197)","F250142360"
"249","6858 29th Ave Ne","Aid Response","2025-10-14T04:12:00.000",47.678119,-122.296339,"POINT (-122.296339 47.678119)","F250142359"
"250","N 130th St / Aurora Ave N","Aid Response","2025-10-14T04:03:00.000",47.723212,-122.344977,"POINT (-122.344977 47.723212)","F250142358"
"251","10315 Lake City Way Ne","Medic Response","2025-10-14T04:01:00.000",47.703156,-122.30161,"POINT (-122.30161 47.703156)","F250142357"
"252","3rd Ave / Pike St","Medic Response","2025-10-14T03:57:00.000",47.60975,-122.337793,"POINT (-122.337793 47.60975)","F250142356"
"253","3rd Ave / Pike St","Aid Response","2025-10-14T03:51:00.000",47.60975,-122.337793,"POINT (-122.337793 47.60975)","F250142355"
"254","4400 Stone Way N","Medic Response","2025-10-14T03:32:00.000",47.65996,-122.342217,"POINT (-122.342217 47.65996)","F250142353"
"255","4th Ave / Seneca St","Aid Response","2025-10-14T02:53:00.000",47.607515,-122.334213,"POINT (-122.334213 47.607515)","F250142350"
"256","4536 Brooklyn Ave Ne","Illegal Burn","2025-10-14T02:45:00.000",47.661599,-122.314278,"POINT (-122.314278 47.661599)","F250142349"
"257","Martin Luther King Jr Way S / S Edmunds St","Aid Response","2025-10-14T02:22:00.000",47.55867,-122.292119,"POINT (-122.292119 47.55867)","F250142345"
"258","201 Yesler Way","1RED 1 Unit","2025-10-14T02:22:00.000",47.601719,-122.331966,"POINT (-122.331966 47.601719)","F250142346"
"259","4503 41st Ave S","Aid Response","2025-10-14T02:20:00.000",47.562837,-122.281701,"POINT (-122.281701 47.562837)","F250142344"
"260","E Pike St / Summit Ave","Engine Code Red","2025-10-14T02:17:00.000",47.614089,-122.325514,"POINT (-122.325514 47.614089)","F250142342"
"261","721 4th Ave N","Aid Response","2025-10-14T02:00:00.000",47.625603,-122.348869,"POINT (-122.348869 47.625603)","F250142341"
"262","115 Broadway E","Aid Response","2025-10-14T01:57:00.000",47.618907,-122.320857,"POINT (-122.320857 47.618907)","F250142340"
"263","1808 18th Ave","Aid Response","2025-10-14T01:37:00.000",47.617671,-122.308833,"POINT (-122.308833 47.617671)","F250142337"
"264","11217 Woodley Ave S","Aid Response Yellow","2025-10-14T01:33:00.000",47.502432,-122.242525,"POINT (-122.242525 47.502432)","F250142334"
"265","3400 Ne 110th St","Ladder Code Yellow","2025-10-14T01:28:00.000",47.708379,-122.29211,"POINT (-122.29211 47.708379)","F250142333"
"266","204 3rd Ave S","Aid Response","2025-10-14T01:27:00.000",47.600843,-122.330271,"POINT (-122.330271 47.600843)","F250142332"
"267","11616 Aurora Ave N","Auto Alarm 1 + 1 + 1","2025-10-14T01:24:00.000",47.713757,-122.344836,"POINT (-122.344836 47.713757)","F250142331"
"268","308 14th Ave E","Aid Response","2025-10-14T01:18:00.000",47.62118,-122.314685,"POINT (-122.314685 47.62118)","F250142329"
"269","14349 32nd Ave Ne","Water Job Minor","2025-10-14T01:16:00.000",47.732394,-122.293826,"POINT (-122.293826 47.732394)","F250142328"
"270","4484 Martin Luther King Jr Way S","Aid Response","2025-10-14T01:11:00.000",47.563035,-122.294639,"POINT (-122.294639 47.563035)","F250142327"
"271","3rd Ave / Pike St","Aid Response","2025-10-14T01:09:00.000",47.60975,-122.337793,"POINT (-122.337793 47.60975)","F250142325"
"272","94 Bay St","Aid Response Yellow","2025-10-14T01:06:00.000",47.618347,-122.35529,"POINT (-122.35529 47.618347)","F250142324"
"273","12753 10th Ave Nw","Aid Response","2025-10-14T00:53:00.000",47.721811,-122.369044,"POINT (-122.369044 47.721811)","F250142322"
"274","715 Spring St","Aid Response","2025-10-14T00:51:00.000",47.608268,-122.330056,"POINT (-122.330056 47.608268)","F250142321"
"275","2715 25th Ave S","Medic Response","2025-10-14T00:49:00.000",47.579039,-122.300283,"POINT (-122.300283 47.579039)","F250142320"
"276","6559 35th Ave Ne","Aid Response","2025-10-14T00:28:00.000",47.676136,-122.290283,"POINT (-122.290283 47.676136)","F250142316"
"277","4801 24th Ave Ne","Aid Response","2025-10-14T00:26:00.000",47.66378,-122.301734,"POINT (-122.301734 47.66378)","F250142315"
"278","4616 Martin Luther King Jr Way S","Aid Response","2025-10-14T00:22:00.000",47.561665,-122.293778,"POINT (-122.293778 47.561665)","F250142314"
"279","9263 46th Ave S","Aid Response","2025-10-14T00:00:00.000",47.51946,-122.274226,"POINT (-122.274226 47.51946)","F250142310"
"280","308 14th Ave E","Aid Response","2025-10-13T23:57:00.000",47.62118,-122.314685,"POINT (-122.314685 47.62118)","F250142309"
"281","7th Ave S / S Snoqualmie St","Aid Response","2025-10-13T23:55:00.000",47.56201,-122.324187,"POINT (-122.324187 47.56201)","F250142307"
"282","2715 25th Ave S","Medic Response","2025-10-13T23:50:00.000",47.579039,-122.300283,"POINT (-122.300283 47.579039)","F250142305"
"283","2500 Sw Trenton St","Medic Response","2025-10-13T23:37:00.000",47.524684,-122.364526,"POINT (-122.364526 47.524684)","F250142302"
"284","3814 11th Ave W","Illegal Burn","2025-10-13T23:27:00.000",47.653885,-122.37154,"POINT (-122.37154 47.653885)","F250142301"
"285","3601 Beacon Ave S","Investigate Out Of Service","2025-10-13T23:21:00.000",47.571924,-122.308253,"POINT (-122.308253 47.571924)","F250142298"
"286","4532 California Ave Sw","Aid Response","2025-10-13T23:21:00.000",47.56262,-122.386775,"POINT (-122.386775 47.56262)","F250142299"
"287","801 Alaskan Way","Aid Response","2025-10-13T23:16:00.000",47.602422,-122.33696,"POINT (-122.33696 47.602422)","F250142297"
"288","94 Bay St","Aid Response Yellow","2025-10-13T23:15:00.000",47.618347,-122.35529,"POINT (-122.35529 47.618347)","F250142296"
"289","1000 Aurora Ave N","Auto Fire Alarm","2025-10-13T23:08:00.000",47.628037,-122.343422,"POINT (-122.343422 47.628037)","F250142295"
"290","9000 Holman Rd Nw","Illegal Burn","2025-10-13T22:59:00.000",47.694721,-122.37545,"POINT (-122.37545 47.694721)","F250142293"
"291","811 N 130th St","Aid Response","2025-10-13T22:55:00.000",47.723221,-122.349217,"POINT (-122.349217 47.723221)","F250142291"
"292","Sb I5 At Michigan","MVI Freeway","2025-10-13T22:47:00.000",47.559045,-122.321742,"POINT (-122.321742 47.559045)","F250142290"
"293","6th Ave / Cherry St","Engine Code Red","2025-10-13T22:41:00.000",47.604876,-122.328734,"POINT (-122.328734 47.604876)","F250142286"
"294","6720 East Green Lake Way N","Aid Response","2025-10-13T22:26:00.000",47.67834,-122.32895,"POINT (-122.32895 47.67834)","F250142284"
"295","2505 1st Ave","Aid Response","2025-10-13T22:20:00.000",47.614719,-122.348784,"POINT (-122.348784 47.614719)","F250142280"
"296","16th Ave / E Olive St","Illegal Burn","2025-10-13T22:17:00.000",47.616446,-122.311456,"POINT (-122.311456 47.616446)","F250142279"
"297","3546 Ne 125th St","Aid Response","2025-10-13T22:09:00.000",47.71924,-122.28927,"POINT (-122.28927 47.71924)","F250142276"
"298","1641 Nagle Pl","Aid Response","2025-10-13T21:59:00.000",47.615723,-122.320024,"POINT (-122.320024 47.615723)","F250142275"
"299","8838 16th Ave Sw","Ladder Code Yellow","2025-10-13T21:57:00.000",47.524354,-122.355087,"POINT (-122.355087 47.524354)","F250142274"
"300","4219 S Othello St","Aid Response","2025-10-13T21:45:00.000",47.53705,-122.280473,"POINT (-122.280473 47.53705)","F250142272"
"301","5918 15th Ave Nw","Dumpster Fire","2025-10-13T21:37:00.000",47.671757,-122.376212,"POINT (-122.376212 47.671757)","F250142269"
"302","10601 5th Ave Ne","Aid Response","2025-10-13T21:36:00.000",47.706291,-122.323209,"POINT (-122.323209 47.706291)","F250142270"
"303","4300 Brooklyn Ave Ne","Aid Response","2025-10-13T21:33:00.000",47.659809,-122.314324,"POINT (-122.314324 47.659809)","F250142268"
"304","450 Ne 100th St","Aid Response","2025-10-13T21:30:00.000",47.701329,-122.323684,"POINT (-122.323684 47.701329)","F250142267"
"305","26th Ave S / S Forest St","Illegal Burn","2025-10-13T21:28:00.000",47.577527,-122.299272,"POINT (-122.299272 47.577527)","F250142266"
"306","1431 Minor Ave","Aid Response","2025-10-13T21:23:00.000",47.613247,-122.327187,"POINT (-122.327187 47.613247)","F250142265"
"307","5th Ave S / S Royal Brougham Way","Aid Response","2025-10-13T21:20:00.000",47.592394,-122.327395,"POINT (-122.327395 47.592394)","F250142260"
"308","11314 25th Ave Ne","Aid Response","2025-10-13T21:18:00.000",47.711075,-122.301815,"POINT (-122.301815 47.711075)","F250142259"
"309","1615 19th Ave","Auto Fire Alarm","2025-10-13T21:17:00.000",47.615477,-122.30744,"POINT (-122.30744 47.615477)","F250142258"
"310","120 6th Ave S","Aid Response Yellow","2025-10-13T21:14:00.000",47.601539,-122.326352,"POINT (-122.326352 47.601539)","F250142257"
"311","1101 4th Ave","Auto Fire Alarm","2025-10-13T21:14:00.000",47.606801,-122.333562,"POINT (-122.333562 47.606801)","F250142256"
"312","200 6th Ave N","Aid Response","2025-10-13T21:04:00.000",47.61973,-122.345007,"POINT (-122.345007 47.61973)","F250142253"
"313","1250 1st Ave S","Auto Fire Alarm","2025-10-13T20:53:00.000",47.592049,-122.334195,"POINT (-122.334195 47.592049)","F250142252"
"314","3052 Ne 137th St","Aid Response","2025-10-13T20:52:00.000",47.727937,-122.295681,"POINT (-122.295681 47.727937)","F250142251"
"315","3939 Stone Way N","Low Acuity Response","2025-10-13T20:48:00.000",47.654891,-122.342464,"POINT (-122.342464 47.654891)","F250142249"
"316","801 9th Ave","Auto Fire Alarm","2025-10-13T20:44:00.000",47.606982,-122.326056,"POINT (-122.326056 47.606982)","F250142244"
"317","Unknown","Poison Control","2025-10-13T20:39:00.000",NA,NA,"","F250142250"
"318","1521 Broadway","Aid Response","2025-10-13T20:37:00.000",47.614313,-122.320784,"POINT (-122.320784 47.614313)","F250142242"
"319","1233 Mcgilvra Blvd E","Aid Response","2025-10-13T20:29:00.000",47.629945,-122.281341,"POINT (-122.281341 47.629945)","F250142241"
"320","9135 50th Ave S","Illegal Burn","2025-10-13T20:25:00.000",47.521863,-122.271385,"POINT (-122.271385 47.521863)","F250142240"
"321","1501 10th Ave E","Aid Response","2025-10-13T20:23:00.000",47.632278,-122.320206,"POINT (-122.320206 47.632278)","F250142238"
"322","1st Ave / Blanchard St","Aid Response","2025-10-13T20:19:00.000",47.612606,-122.345213,"POINT (-122.345213 47.612606)","F250142236"
"323","25 W Roy St","Aid Response","2025-10-13T20:16:00.000",47.625715,-122.357024,"POINT (-122.357024 47.625715)","F250142235"
"324","8TH AVE / S WASHINGTON ST","Aid Response","2025-10-13T20:10:00.000",47.601703,-122.322447,"POINT (-122.322447 47.601703)","F250142234"
"325","1301 1st Ave","Aid Response","2025-10-13T20:05:00.000",47.606835,-122.338197,"POINT (-122.338197 47.606835)","F250142232"
"326","809 S Washington St","Ladder Code Yellow","2025-10-13T19:57:00.000",47.601589,-122.322427,"POINT (-122.322427 47.601589)","F250142231"
"327","1101 4th Ave","Auto Fire Alarm","2025-10-13T19:55:00.000",47.606801,-122.333562,"POINT (-122.333562 47.606801)","F250142230"
"328","4219 7th Ave Ne","Alarm Bell","2025-10-13T19:49:00.000",47.657869,-122.320844,"POINT (-122.320844 47.657869)","F250142229"
"329","5011 Bernie Whitebear Way","Medic Response","2025-10-13T19:44:00.000",47.667982,-122.413338,"POINT (-122.413338 47.667982)","F250142228"
"330","2139 Ferry Ave Sw","Medic Response","2025-10-13T19:36:00.000",47.58474,-122.387914,"POINT (-122.387914 47.58474)","F250142225"
"331","600 Sw Kenyon St","Medic Response","2025-10-13T19:26:00.000",47.531953,-122.343095,"POINT (-122.343095 47.531953)","F250142220"
"332","9201 42nd Ave S","Aid Response","2025-10-13T19:18:00.000",47.520751,-122.280665,"POINT (-122.280665 47.520751)","F250142219"
"333","14027 Lake City Way Ne","Aid Response","2025-10-13T19:15:00.000",47.730274,-122.292316,"POINT (-122.292316 47.730274)","F250142218"
"334","11833 55TH AVE S","Brush Fire","2025-10-13T19:11:00.000",47.497095,-122.264304,"POINT (-122.264304 47.497095)","F250142215"
"335","2900 3rd Ave W","Aid Response","2025-10-13T19:09:00.000",47.645803,-122.360896,"POINT (-122.360896 47.645803)","F250142212"
"336","615 S King St","Aid Response","2025-10-13T19:05:00.000",47.598353,-122.325956,"POINT (-122.325956 47.598353)","F250142211"
"337","4502 55th Ave Ne","Automatic Fire Alarm Resd","2025-10-13T19:04:00.000",47.661238,-122.268852,"POINT (-122.268852 47.661238)","F250142210"
"338","4917 Ne 87th St","Automatic Fire Alarm Resd","2025-10-13T19:02:00.000",47.691893,-122.274606,"POINT (-122.274606 47.691893)","F250142209"
"339","1247 15th Ave E","Investigate Out Of Service","2025-10-13T18:59:00.000",47.630904,-122.312516,"POINT (-122.312516 47.630904)","F250142207"
"340","4519 University Way Ne","Dumpster Fire","2025-10-13T18:58:00.000",47.661435,-122.313127,"POINT (-122.313127 47.661435)","F250142206"
"341","4100 Sw Alaska St","Rescue Elevator","2025-10-13T18:57:00.000",47.561096,-122.384137,"POINT (-122.384137 47.561096)","F250142205"
"342","7100 35th Ave Sw","Aid Response","2025-10-13T18:56:00.000",47.53922,-122.376575,"POINT (-122.376575 47.53922)","F250142204"
"343","10504 Aurora Ave N","Aid Response","2025-10-13T18:54:00.000",47.705074,-122.344694,"POINT (-122.344694 47.705074)","F250142202"
"344","14027 Lake City Way Ne","Hang-Up- Aid","2025-10-13T18:50:00.000",47.730274,-122.292316,"POINT (-122.292316 47.730274)","F250142200"
"345","2140 N Northgate Way","Aid Response","2025-10-13T18:50:00.000",47.708659,-122.333457,"POINT (-122.333457 47.708659)","F250142199"
"346","1500 10th Ave","Aid Response","2025-10-13T18:48:00.000",47.614085,-122.319447,"POINT (-122.319447 47.614085)","F250142201"
"347","S Jackson St / Boren Ave S","Aid Response","2025-10-13T18:48:00.000",47.59921,-122.314137,"POINT (-122.314137 47.59921)","F250142198"
"348","140 Broadway E","Aid Response","2025-10-13T18:46:00.000",47.619205,-122.320862,"POINT (-122.320862 47.619205)","F250142197"
"349","9th Ave / Fir St","Aid Response","2025-10-13T18:42:00.000",47.6027,-122.322144,"POINT (-122.322144 47.6027)","F250142196"
"350","5832 Oberlin Ave Ne","Aid Response","2025-10-13T18:36:00.000",47.671466,-122.276452,"POINT (-122.276452 47.671466)","F250142195"
"351","2830 Nw Market St","Aid Response","2025-10-13T18:33:00.000",47.66865,-122.394118,"POINT (-122.394118 47.66865)","F250142193"
"352","14021 19th Ave Ne","Aid Response","2025-10-13T18:33:00.000",47.730382,-122.308659,"POINT (-122.308659 47.730382)","F250142194"
"353","1501 17th Ave","Aid Response","2025-10-13T18:31:00.000",47.614106,-122.310161,"POINT (-122.310161 47.614106)","F250142192"
"354","9240 2nd Ave Sw","Aid Response","2025-10-13T18:24:00.000",47.520451,-122.336003,"POINT (-122.336003 47.520451)","F250142190"
"355","303 S Jackson St","Aid Response","2025-10-13T18:24:00.000",47.599199,-122.330251,"POINT (-122.330251 47.599199)","F250142189"
"356","Nagle Pl / E Pine St","Aid Response","2025-10-13T18:20:00.000",47.615241,-122.320016,"POINT (-122.320016 47.615241)","F250142188"
"357","5433 Leary Ave Nw","Aid Response","2025-10-13T18:17:00.000",47.667504,-122.38311,"POINT (-122.38311 47.667504)","F250142186"
"358","5151 S Orcas St","Medic Response","2025-10-13T18:15:00.000",47.551133,-122.268537,"POINT (-122.268537 47.551133)","F250142185"
"359","9200 2nd Ave Sw","Aid Response","2025-10-13T18:14:00.000",47.521244,-122.336301,"POINT (-122.336301 47.521244)","F250142184"
"360","3rd Ave / James St","Aid Response","2025-10-13T18:14:00.000",47.602769,-122.331409,"POINT (-122.331409 47.602769)","F250142182"
"361","7016 Dibble Ave Nw","Automatic Fire Alarm Resd","2025-10-13T18:14:00.000",47.679645,-122.367271,"POINT (-122.367271 47.679645)","F250142183"
"362","4524 S Henderson St","Rescue Elevator","2025-10-13T18:08:00.000",47.523312,-122.275874,"POINT (-122.275874 47.523312)","F250142178"
"363","6516 Rainier Ave S","Aid Response","2025-10-13T18:08:00.000",47.544115,-122.27395,"POINT (-122.27395 47.544115)","F250142179"
"364","9929 64th Ave S","Aid Response","2025-10-13T18:05:00.000",47.512639,-122.25351,"POINT (-122.25351 47.512639)","F250142177"
"365","1101 Harbor Ave Sw","Aid Response Yellow","2025-10-13T17:55:00.000",47.593608,-122.383447,"POINT (-122.383447 47.593608)","F250142173"
"366","420 Wall St","Aid Response","2025-10-13T17:54:00.000",47.616827,-122.345996,"POINT (-122.345996 47.616827)","F250142170"
"367","12th Ave E / E Harrison St","1RED 1 Unit","2025-10-13T17:52:00.000",47.621966,-122.316773,"POINT (-122.316773 47.621966)","F250142168"
"368","2046 26th Ave E","Aid Response","2025-10-13T17:50:00.000",47.638149,-122.29943,"POINT (-122.29943 47.638149)","F250142167"
"369","3422 21st Ave W","Activated CO Detector","2025-10-13T17:49:00.000",47.650523,-122.383351,"POINT (-122.383351 47.650523)","F250142166"
"370","4503 41st Ave S","Aid Response Yellow","2025-10-13T17:42:00.000",47.562837,-122.281701,"POINT (-122.281701 47.562837)","F250142164"
"371","9701 Myers Way S","Aid Response","2025-10-13T17:39:00.000",47.515953,-122.331862,"POINT (-122.331862 47.515953)","F250142162"
"372","2210 Westlake Ave","Aid Response","2025-10-13T17:37:00.000",47.618127,-122.338419,"POINT (-122.338419 47.618127)","F250142161"
"373","1821 BROADWAY","Aid Response","2025-10-13T17:35:00.000",47.61781,-122.32084,"POINT (-122.32084 47.61781)","F250142159"
"374","1501 Pike Pl","Aid Response","2025-10-13T17:33:00.000",47.608629,-122.340472,"POINT (-122.340472 47.608629)","F250142158"
"375","1300 E Pine St","Aid Response","2025-10-13T17:18:00.000",47.615273,-122.315549,"POINT (-122.315549 47.615273)","F250142157"
"376","904 7th Ave","Aid Response","2025-10-13T17:09:00.000",47.606866,-122.329021,"POINT (-122.329021 47.606866)","F250142156"
"377","12528 14th Ave Ne","Investigate Out Of Service","2025-10-13T17:04:00.000",47.719922,-122.314041,"POINT (-122.314041 47.719922)","F250142155"
"378","429 2nd Ave W","Aid Response Yellow","2025-10-13T16:55:00.000",47.622452,-122.359338,"POINT (-122.359338 47.622452)","F250142153"
"379","13023 Greenwood Ave N","Medic Response- 7 per Rule","2025-10-13T16:53:00.000",47.723436,-122.355547,"POINT (-122.355547 47.723436)","F250142151"
"380","423 Maynard Ave S","Aid Response","2025-10-13T16:53:00.000",47.598994,-122.325056,"POINT (-122.325056 47.598994)","F250142152"
"381","118 Bell St","Aid Response","2025-10-13T16:46:00.000",47.613497,-122.346355,"POINT (-122.346355 47.613497)","F250142148"
"382","3100 Airport Way S","Aid Response","2025-10-13T16:40:00.000",47.576894,-122.3214,"POINT (-122.3214 47.576894)","F250142145"
"383","3900 S Othello St","Aid Response","2025-10-13T16:40:00.000",47.537046,-122.283397,"POINT (-122.283397 47.537046)","F250142146"
"384","Carleton Ave S / S Eddy St","Aid Response","2025-10-13T16:39:00.000",47.5458,-122.320653,"POINT (-122.320653 47.5458)","F250142144"
"385","4759 15th Ave Ne","Medic Response","2025-10-13T16:35:00.000",47.663436,-122.31196,"POINT (-122.31196 47.663436)","F250142140"
"386","9736 Greenwood Ave N","Activated CO Detector","2025-10-13T16:35:00.000",47.700015,-122.3554,"POINT (-122.3554 47.700015)","F250142141"
"387","2010 S Jackson St","Automatic Medical Alarm","2025-10-13T16:34:00.000",47.599258,-122.305827,"POINT (-122.305827 47.599258)","F250142139"
"388","4515 39th Ave S","Aid Response","2025-10-13T16:25:00.000",47.562677,-122.283854,"POINT (-122.283854 47.562677)","F250142138"
"389","7312 West Green Lake Dr N","Aid Response","2025-10-13T16:24:00.000",47.682186,-122.34155,"POINT (-122.34155 47.682186)","F250142137"
"390","1561 Alaskan Way S","Aid Response Yellow","2025-10-13T16:21:00.000",47.589965,-122.3376,"POINT (-122.3376 47.589965)","F250142136"
"391","4401 S Trenton St","Medic Response","2025-10-13T16:20:00.000",47.524258,-122.278029,"POINT (-122.278029 47.524258)","F250142135"
"392","910 Marion St","Aid Response","2025-10-13T16:18:00.000",47.607742,-122.326595,"POINT (-122.326595 47.607742)","F250142134"
